Intel(R) Parallel Studio XE 2020 Update 4 for Linux*
Copyright 2009-2020 Intel Corporation.
ARGUMENTS:
MAXNUM: 1000000000001
SEGMENT LENGTH: 100000000
SAVE? false
START_NUM: 3
Initializing sieving primes
53307435.79s:	Starting main sieving!
53307756.2s: [56] 10.2%	Current number of primes found by process: 65201622	ETA: 203.0s
53307756.2s: [54] 10.2%	Current number of primes found by process: 65239840	ETA: 202.9s
53307756.2s: [59] 10.2%	Current number of primes found by process: 65157588	ETA: 202.9s
53307756.2s: [52] 10.2%	Current number of primes found by process: 65271886	ETA: 203.4s
53307756.2s: [49] 10.2%	Current number of primes found by process: 65319079	ETA: 202.9s
53307756.2s: [53] 10.2%	Current number of primes found by process: 65256480	ETA: 202.9s
53307756.2s: [60] 10.2%	Current number of primes found by process: 65145112	ETA: 203.6s
53307756.2s: [57] 10.2%	Current number of primes found by process: 65200034	ETA: 202.9s
53307756.2s: [51] 10.2%	Current number of primes found by process: 65293857	ETA: 203.1s
53307756.2s: [62] 10.2%	Current number of primes found by process: 65120641	ETA: 203.0s
53307756.2s: [55] 10.2%	Current number of primes found by process: 65222638	ETA: 203.0s
53307756.2s: [50] 10.2%	Current number of primes found by process: 65303635	ETA: 203.0s
53307459.1s: [13] 10.2%	Current number of primes found by process: 66226753	ETA: 203.3s
53307459.1s: [6] 10.2%	Current number of primes found by process: 66646314	ETA: 203.0s
53307459.1s: [0] 10.2%	Current number of primes found by process: 68197395	ETA: 203.6s
53307459.1s: [4] 10.2%	Current number of primes found by process: 66841030	ETA: 203.0s
53307459.1s: [1] 10.2%	Current number of primes found by process: 67437275	ETA: 203.0s
53307459.1s: [3] 10.2%	Current number of primes found by process: 66975920	ETA: 203.1s
53307459.1s: [5] 10.2%	Current number of primes found by process: 66732628	ETA: 202.9s
53307459.1s: [14] 10.2%	Current number of primes found by process: 66189101	ETA: 202.9s
53307459.1s: [12] 10.2%	Current number of primes found by process: 66281441	ETA: 203.0s
53307459.1s: [7] 10.2%	Current number of primes found by process: 66571670	ETA: 202.9s
53307459.1s: [11] 10.2%	Current number of primes found by process: 66329432	ETA: 203.1s
53307459.1s: [9] 10.2%	Current number of primes found by process: 66441961	ETA: 203.0s
53307459.1s: [8] 10.2%	Current number of primes found by process: 66494759	ETA: 203.0s
53307459.1s: [15] 10.2%	Current number of primes found by process: 66157017	ETA: 203.0s
53307459.1s: [2] 10.2%	Current number of primes found by process: 67158183	ETA: 203.0s
53307459.3s: [18] 11.5%	Current number of primes found by process: 73922635	ETA: 143.8s
53307464.5s: [22] 12.8%	Current number of primes found by process: 81627731	ETA: 191.8s
53307761.8s: [38] 12.8%	Current number of primes found by process: 81223311	ETA: 195.6s
53307761.8s: [44] 12.8%	Current number of primes found by process: 81108173	ETA: 195.5s
53307464.7s: [19] 12.8%	Current number of primes found by process: 81729407	ETA: 195.9s
53307761.8s: [33] 12.8%	Current number of primes found by process: 81340312	ETA: 194.8s
53307761.8s: [40] 12.8%	Current number of primes found by process: 81189976	ETA: 195.4s
53307761.8s: [36] 12.8%	Current number of primes found by process: 81269129	ETA: 195.6s
53307761.8s: [47] 12.8%	Current number of primes found by process: 81039638	ETA: 195.5s
53307761.8s: [42] 12.8%	Current number of primes found by process: 81150933	ETA: 195.9s
53307761.8s: [37] 12.8%	Current number of primes found by process: 81250413	ETA: 195.7s
53307761.8s: [46] 12.8%	Current number of primes found by process: 81071003	ETA: 195.6s
53307761.8s: [43] 12.8%	Current number of primes found by process: 81119673	ETA: 195.4s
53307464.7s: [24] 12.8%	Current number of primes found by process: 81575111	ETA: 196.3s
53307761.8s: [41] 12.8%	Current number of primes found by process: 81168455	ETA: 195.4s
53307761.8s: [45] 12.8%	Current number of primes found by process: 81087314	ETA: 195.6s
53307761.8s: [35] 12.8%	Current number of primes found by process: 81294296	ETA: 195.5s
53307761.8s: [39] 12.8%	Current number of primes found by process: 81202631	ETA: 195.5s
53307761.8s: [34] 12.8%	Current number of primes found by process: 81314309	ETA: 195.5s
53307761.8s: [32] 12.8%	Current number of primes found by process: 81368278	ETA: 195.5s
53307464.8s: [26] 12.8%	Current number of primes found by process: 81512972	ETA: 196.4s
53307464.8s: [21] 12.8%	Current number of primes found by process: 81664108	ETA: 196.2s
53307464.8s: [20] 12.8%	Current number of primes found by process: 81693911	ETA: 196.3s
53307464.8s: [30] 12.8%	Current number of primes found by process: 81408418	ETA: 196.4s
53307464.8s: [17] 12.8%	Current number of primes found by process: 81798857	ETA: 196.3s
53307464.8s: [27] 12.8%	Current number of primes found by process: 81491951	ETA: 196.4s
53307464.8s: [10] 14.1%	Current number of primes found by process: 89931359	ETA: 192.2s
53307464.8s: [16] 12.8%	Current number of primes found by process: 81833488	ETA: 196.7s
53307464.8s: [29] 12.8%	Current number of primes found by process: 81437497	ETA: 196.8s
53307464.8s: [23] 12.8%	Current number of primes found by process: 81597996	ETA: 196.6s
53307464.8s: [28] 12.8%	Current number of primes found by process: 81462102	ETA: 196.5s
53307464.8s: [25] 12.8%	Current number of primes found by process: 81542894	ETA: 196.5s
53307464.8s: [31] 12.8%	Current number of primes found by process: 81391790	ETA: 196.5s
53307464.8s: [18] 14.1%	Current number of primes found by process: 89575795	ETA: 184.7s
53307761.9s: [61] 12.8%	Current number of primes found by process: 80810097	ETA: 196.4s
53307761.9s: [48] 12.8%	Current number of primes found by process: 81030722	ETA: 196.4s
53307761.9s: [63] 12.8%	Current number of primes found by process: 80771923	ETA: 196.7s
53307761.9s: [56] 12.8%	Current number of primes found by process: 80880645	ETA: 196.7s
53307761.9s: [58] 12.8%	Current number of primes found by process: 80853672	ETA: 196.9s
53307761.9s: [54] 12.8%	Current number of primes found by process: 80921695	ETA: 196.8s
53307761.9s: [52] 12.8%	Current number of primes found by process: 80956580	ETA: 196.7s
53307761.9s: [59] 12.8%	Current number of primes found by process: 80833602	ETA: 196.9s
53307761.9s: [49] 12.8%	Current number of primes found by process: 81006291	ETA: 196.7s
53307761.9s: [60] 12.8%	Current number of primes found by process: 80822411	ETA: 196.6s
53307762.0s: [53] 12.8%	Current number of primes found by process: 80936932	ETA: 196.9s
53307762.0s: [51] 12.8%	Current number of primes found by process: 80979570	ETA: 196.8s
53307762.0s: [57] 12.8%	Current number of primes found by process: 80881451	ETA: 196.9s
53307762.0s: [50] 12.8%	Current number of primes found by process: 80988283	ETA: 196.7s
53307762.0s: [62] 12.8%	Current number of primes found by process: 80795089	ETA: 196.8s
53307762.0s: [55] 12.8%	Current number of primes found by process: 80904021	ETA: 196.8s
53307464.9s: [6] 12.8%	Current number of primes found by process: 82377682	ETA: 196.8s
53307464.9s: [13] 12.8%	Current number of primes found by process: 81952668	ETA: 197.0s
53307464.9s: [4] 12.8%	Current number of primes found by process: 82574573	ETA: 196.9s
53307464.9s: [1] 12.8%	Current number of primes found by process: 83173221	ETA: 197.0s
53307464.9s: [3] 12.8%	Current number of primes found by process: 82712703	ETA: 197.1s
53307464.9s: [0] 12.8%	Current number of primes found by process: 83939922	ETA: 197.6s
53307464.9s: [5] 12.8%	Current number of primes found by process: 82466103	ETA: 197.1s
53307464.9s: [14] 12.8%	Current number of primes found by process: 81912264	ETA: 197.0s
53307464.9s: [12] 12.8%	Current number of primes found by process: 82007974	ETA: 197.0s
53307464.9s: [11] 12.8%	Current number of primes found by process: 82059481	ETA: 197.0s
53307464.9s: [7] 12.8%	Current number of primes found by process: 82304626	ETA: 197.1s
53307464.9s: [9] 12.8%	Current number of primes found by process: 82173149	ETA: 197.0s
53307464.9s: [15] 12.8%	Current number of primes found by process: 81877356	ETA: 197.0s
53307464.9s: [8] 12.8%	Current number of primes found by process: 82228054	ETA: 197.0s
53307464.9s: [2] 12.8%	Current number of primes found by process: 82899195	ETA: 197.0s
53307470.3s: [10] 16.6%	Current number of primes found by process: 105477187	ETA: 177.9s
53307470.4s: [19] 15.4%	Current number of primes found by process: 97322165	ETA: 188.3s
53307767.5s: [33] 15.4%	Current number of primes found by process: 96920256	ETA: 189.2s
53307767.5s: [44] 15.4%	Current number of primes found by process: 96681925	ETA: 189.6s
53307767.5s: [38] 15.4%	Current number of primes found by process: 96800789	ETA: 189.8s
53307767.5s: [40] 15.4%	Current number of primes found by process: 96767106	ETA: 189.4s
53307767.5s: [36] 15.4%	Current number of primes found by process: 96849080	ETA: 189.6s
53307767.5s: [47] 15.4%	Current number of primes found by process: 96609068	ETA: 189.4s
