ARGUMENTS:
MAXNUM: 1000000000001
SEGMENT LENGTH: 100000000
SAVE? false
START_NUM: 3
Initializing sieving primes
0.01s:	Starting main sieving!
104.7s: [13] 10.9%	Current number of primes found by process: 278232384	ETA: 862.0s
104.7s: [0] 10.9%	Current number of primes found by process: 281077691	ETA: 850.2s
104.7s: [5] 10.9%	Current number of primes found by process: 279245414	ETA: 862.2s
104.8s: [9] 10.9%	Current number of primes found by process: 278704676	ETA: 859.1s
104.8s: [2] 10.9%	Current number of primes found by process: 279882070	ETA: 862.2s
104.8s: [10] 10.9%	Current number of primes found by process: 278572458	ETA: 865.4s
104.8s: [4] 10.9%	Current number of primes found by process: 279418502	ETA: 862.4s
104.8s: [11] 11.8%	Current number of primes found by process: 302014049	ETA: 607.3s
105.1s: [6] 10.9%	Current number of primes found by process: 279084875	ETA: 898.5s
107.8s: [15] 11.5%	Current number of primes found by process: 293752916	ETA: 845.6s
107.9s: [14] 11.5%	Current number of primes found by process: 293854195	ETA: 855.7s
110.7s: [7] 12.2%	Current number of primes found by process: 310353170	ETA: 824.9s
110.7s: [11] 12.5%	Current number of primes found by process: 317682961	ETA: 809.5s
110.7s: [1] 11.5%	Current number of primes found by process: 295964690	ETA: 833.1s
110.7s: [8] 11.5%	Current number of primes found by process: 294528378	ETA: 833.5s
110.7s: [3] 11.5%	Current number of primes found by process: 295363162	ETA: 834.3s
110.7s: [0] 11.5%	Current number of primes found by process: 296808027	ETA: 831.9s
110.8s: [12] 11.5%	Current number of primes found by process: 294069732	ETA: 833.8s
110.8s: [13] 11.5%	Current number of primes found by process: 293951172	ETA: 833.6s
110.8s: [10] 11.5%	Current number of primes found by process: 294293609	ETA: 830.6s
110.8s: [5] 11.5%	Current number of primes found by process: 294970072	ETA: 833.3s
110.8s: [9] 11.5%	Current number of primes found by process: 294426793	ETA: 833.0s
110.8s: [2] 11.5%	Current number of primes found by process: 295611473	ETA: 833.5s
112.8s: [4] 11.5%	Current number of primes found by process: 295145165	ETA: 1108.3s
112.9s: [6] 11.5%	Current number of primes found by process: 294806989	ETA: 1079.8s
113.8s: [15] 12.2%	Current number of primes found by process: 309433513	ETA: 825.5s
113.8s: [14] 12.2%	Current number of primes found by process: 309535184	ETA: 818.9s
116.8s: [7] 12.8%	Current number of primes found by process: 326009274	ETA: 831.7s
116.8s: [11] 13.1%	Current number of primes found by process: 333318711	ETA: 825.6s
116.9s: [0] 12.2%	Current number of primes found by process: 312506655	ETA: 837.5s
116.9s: [1] 12.2%	Current number of primes found by process: 311654384	ETA: 839.1s
116.9s: [8] 12.2%	Current number of primes found by process: 310216298	ETA: 838.7s
116.9s: [12] 12.2%	Current number of primes found by process: 309751506	ETA: 838.6s
116.9s: [3] 12.2%	Current number of primes found by process: 311056976	ETA: 839.2s
116.9s: [9] 12.2%	Current number of primes found by process: 310111772	ETA: 838.2s
116.9s: [5] 12.2%	Current number of primes found by process: 310661440	ETA: 838.6s
116.9s: [2] 12.2%	Current number of primes found by process: 311307097	ETA: 838.1s
116.9s: [10] 12.2%	Current number of primes found by process: 309978671	ETA: 841.8s
117.2s: [13] 12.2%	Current number of primes found by process: 309635497	ETA: 877.9s
118.9s: [4] 12.2%	Current number of primes found by process: 310837699	ETA: 833.3s
119.9s: [15] 12.8%	Current number of primes found by process: 325080707	ETA: 831.2s
119.9s: [14] 12.8%	Current number of primes found by process: 325186774	ETA: 829.0s
120.1s: [6] 12.5%	Current number of primes found by process: 318325705	ETA: 658.7s
122.9s: [11] 13.8%	Current number of primes found by process: 348924186	ETA: 823.0s
122.9s: [7] 13.4%	Current number of primes found by process: 341634838	ETA: 827.4s
123.0s: [0] 12.8%	Current number of primes found by process: 328172410	ETA: 835.1s
123.0s: [1] 12.8%	Current number of primes found by process: 327318681	ETA: 834.7s
123.0s: [8] 12.8%	Current number of primes found by process: 325873786	ETA: 835.2s
123.0s: [12] 12.8%	Current number of primes found by process: 325400660	ETA: 835.0s
123.0s: [5] 12.8%	Current number of primes found by process: 326317556	ETA: 835.0s
123.0s: [2] 12.8%	Current number of primes found by process: 326966345	ETA: 834.6s
123.0s: [9] 12.8%	Current number of primes found by process: 325765949	ETA: 835.6s
123.0s: [3] 12.8%	Current number of primes found by process: 326715976	ETA: 839.9s
123.0s: [10] 12.8%	Current number of primes found by process: 325633916	ETA: 835.5s
123.1s: [13] 12.8%	Current number of primes found by process: 325287576	ETA: 809.5s
126.0s: [15] 13.4%	Current number of primes found by process: 340696458	ETA: 830.5s
126.1s: [4] 13.1%	Current number of primes found by process: 334311004	ETA: 657.3s
127.4s: [14] 13.4%	Current number of primes found by process: 340806098	ETA: 1019.2s
127.6s: [6] 13.1%	Current number of primes found by process: 333967372	ETA: 1012.5s
129.0s: [11] 14.4%	Current number of primes found by process: 364503874	ETA: 806.3s
129.0s: [7] 14.1%	Current number of primes found by process: 357231574	ETA: 809.9s
129.0s: [0] 13.4%	Current number of primes found by process: 343803004	ETA: 819.2s
129.0s: [8] 13.4%	Current number of primes found by process: 341499193	ETA: 818.4s
129.0s: [1] 13.4%	Current number of primes found by process: 342951215	ETA: 819.6s
129.1s: [12] 13.4%	Current number of primes found by process: 341025624	ETA: 819.6s
129.1s: [3] 13.4%	Current number of primes found by process: 342343708	ETA: 815.1s
129.1s: [5] 13.4%	Current number of primes found by process: 341949370	ETA: 819.5s
129.1s: [2] 13.4%	Current number of primes found by process: 342595861	ETA: 819.5s
129.1s: [13] 13.4%	Current number of primes found by process: 340907102	ETA: 808.2s
129.1s: [9] 13.4%	Current number of primes found by process: 341391949	ETA: 819.8s
129.1s: [10] 13.4%	Current number of primes found by process: 341254964	ETA: 817.7s
132.1s: [15] 14.1%	Current number of primes found by process: 356284655	ETA: 821.2s
132.2s: [4] 13.8%	Current number of primes found by process: 349923003	ETA: 814.1s
132.4s: [14] 14.1%	Current number of primes found by process: 356394294	ETA: 672.8s
135.0s: [11] 15.0%	Current number of primes found by process: 380057147	ETA: 804.9s
135.1s: [7] 14.7%	Current number of primes found by process: 372800173	ETA: 813.2s
135.2s: [0] 14.1%	Current number of primes found by process: 359405556	ETA: 823.1s
135.2s: [1] 14.1%	Current number of primes found by process: 358550291	ETA: 823.1s
135.2s: [8] 14.1%	Current number of primes found by process: 357093380	ETA: 823.9s
135.2s: [3] 14.1%	Current number of primes found by process: 357943849	ETA: 822.4s
135.2s: [12] 14.1%	Current number of primes found by process: 356619110	ETA: 823.5s
135.2s: [10] 14.1%	Current number of primes found by process: 356845940	ETA: 821.8s
135.2s: [2] 14.1%	Current number of primes found by process: 358196386	ETA: 823.1s
135.2s: [5] 14.1%	Current number of primes found by process: 357546071	ETA: 823.4s
135.2s: [9] 14.1%	Current number of primes found by process: 356989411	ETA: 822.8s
135.2s: [13] 14.1%	Current number of primes found by process: 356497780	ETA: 823.9s
135.6s: [6] 14.1%	Current number of primes found by process: 357376470	ETA: 714.1s
138.3s: [4] 14.4%	Current number of primes found by process: 365510541	ETA: 814.1s
